CVE,info,name,release,title,update,url
CVE-2018-2897,Oracle Financial Services Applications是美国甲骨文（Oracle）公司的一套集核心银行、网上银行和财产管理于一身的金融服务软件。FLEXCUBE Universal Banking是其中的一个实时的、在线覆盖零售、团体、投资银行业务的综合性解决方案组件。,Oracle Financial Services Applications FLEXCUBE En...,2018-07-19,Oracle Financial Services Applications FLEXCUBE Enterprise Limits and Collateral Management组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1517
CVE-2018-2898,Oracle Financial Services Applications是美国甲骨文（Oracle）公司的一套集核心银行、网上银行和财产管理于一身的金融服务软件。FLEXCUBE Universal Banking是其中的一个实时的、在线覆盖零售、团体、投资银行业务的综合性解决方案组件。,Oracle Financial Services Applications FLEXCUBE In...,2018-07-19,Oracle Financial Services Applications FLEXCUBE Investor Servicing组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1516
CVE-2018-2899,Oracle Financial Services Applications是美国甲骨文（Oracle）公司的一套集核心银行、网上银行和财产管理于一身的金融服务软件。FLEXCUBE Universal Banking是其中的一个实时的、在线覆盖零售、团体、投资银行业务的综合性解决方案组件。,Oracle Financial Services Applications FLEXCUBE Un...,2018-07-19,Oracle Financial Services Applications FLEXCUBE Universal Banking组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1515
CVE-2018-2892,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Solaris是其中的一个类Unix操作系统。,Oracle Sun Systems Products Solaris组件安全漏洞,2018-07-19,Oracle Sun Systems Products Solaris组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1520
CVE-2018-2896,Oracle Financial Services Applications是美国甲骨文（Oracle）公司的一套集核心银行、网上银行和财产管理于一身的金融服务软件。Banking Payments是其中的一个银行付款组件。,Oracle Financial Services Applications Banking Pay...,2018-07-19,Oracle Financial Services Applications Banking Payments组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1518
CVE-2018-2900,Oracle Fusion Middleware（Oracle融合中间件）是美国甲骨文（Oracle）公司的一套面向企业和云环境的业务创新平台，该平台提供了中间件、软件集合等功能。BI Publisher（前称XML Publisher）是其中的一个报表组件。,Oracle Fusion Middleware BI Publisher组件安全漏洞,2018-07-19,Oracle Fusion Middleware BI Publisher组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1514
CVE-2018-2895,Oracle Financial Services Applications是美国甲骨文（Oracle）公司的一套集核心银行、网上银行和财产管理于一身的金融服务软件。Banking Corporate Lending是其中的一个银行贷款管理组件。,Oracle Financial Services Applications Banking Cor...,2018-07-19,Oracle Financial Services Applications Banking Corporate Lending组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1519
CVE-2018-2891,Oracle Retail Applications是美国甲骨文（Oracle）公司的一套零售应用商店解决方案。Retail Bulk Data Integration是其中的一个数据集成组件。,Oracle Retail Applications Retail Bulk Data Integr...,2018-07-19,Oracle Retail Applications Retail Bulk Data Integration组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1521
CVE-2018-2881,Oracle Retail Applications是美国甲骨文（Oracle）公司的一套零售应用商店解决方案。MICROS Retail-J是其中的一个高级零售系统组件。,Oracle Retail Applications MICROS Retail-J组件安全漏洞,2018-07-19,Oracle Retail Applications MICROS Retail-J组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1524
CVE-2018-2906,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Hardware Management Pack是其中的一个硬件管理组件。,Oracle Sun Systems Products Suite Hardware Managem...,2018-07-19,Oracle Sun Systems Products Suite Hardware Management Pack组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1509
CVE-2018-2907,Oracle Hyperion是美国甲骨文（Oracle）公司的一套财务建模应用软件，它提供财务结算、报表制作等功能。Hyperion Financial Reporting是其中的一个财务报表管理组件。,Oracle Hyperion Hyperion Financial Reporting组件安全漏洞...,2018-07-19,Oracle Hyperion Hyperion Financial Reporting组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1508
CVE-2018-2908,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Solaris是其中的一个类Unix操作系统。,Oracle Sun Systems Products Suite Solaris组件安全漏洞,2018-07-19,Oracle Sun Systems Products Suite Solaris组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1507
CVE-2018-2917,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Sun ZFS Storage Appliance Kit（AK）是其中的一个ZFS存储设备套件。,Oracle Sun Systems Products Suite Sun ZFS Storage ...,2018-07-19,Oracle Sun Systems Products Suite Sun ZFS Storage Appliance Kit组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1504
CVE-2018-2904,Oracle Communications Applications是美国甲骨文（Oracle）公司的一套用于快速交付和货币化数字生活通信的应用程序。Communications EAGLE LNP Application Processor是其中的一个通信应用程序组件。,Oracle Communications Applications Communications ...,2018-07-19,Oracle Communications Applications Communications EAGLE LNP Application Processor组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1511
CVE-2018-2916,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Sun ZFS Storage Appliance Kit（AK）是其中的一个ZFS存储设备套件。,Oracle Sun Systems Products Suite Sun ZFS Storage ...,2018-07-19,Oracle Sun Systems Products Suite Sun ZFS Storage Appliance Kit组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1505
CVE-2018-2918,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Sun ZFS Storage Appliance Kit（AK）是其中的一个ZFS存储设备套件。,Oracle Sun Systems Products Suite Sun ZFS Storage ...,2018-07-19,Oracle Sun Systems Products Suite Sun ZFS Storage Appliance Kit组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1503
CVE-2018-2905,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Sun ZFS Storage Appliance Kit（AK）是其中的一个ZFS存储设备套件。,Oracle Sun Systems Products Suite Sun ZFS Storage ...,2018-07-19,Oracle Sun Systems Products Suite Sun ZFS Storage Appliance Kit组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1510
CVE-2018-2919,Oracle PeopleSoft Products是美国甲骨文（Oracle）公司的一套企业人力资本管理解决方案，它提供了人力资本管理、财务管理、供应商关系管理等功能。PeopleSoft Enterprise PeopleTools是其中的一个能够转变企业管理、PeopleSoft软件的使用以及维护方式的工具和技术平台组件。,Oracle PeopleSoft Products PeopleSoft Enterprise P...,2018-07-19,Oracle PeopleSoft Products PeopleSoft Enterprise PeopleTools组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1502
CVE-2018-2915,Oracle Hyperion是美国甲骨文（Oracle）公司的一套财务建模应用软件，它提供财务结算、报表制作等功能。Hyperion Data Relationship Management是其中的一个数据关系管理组件。,Oracle Hyperion Hyperion Data Relationship Managem...,2018-07-19,Oracle Hyperion Hyperion Data Relationship Management组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1506
CVE-2018-2923,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Sun ZFS Storage Appliance Kit（AK）是其中的一个ZFS存储设备套件。,Oracle Sun Systems Products Suite Sun ZFS Storage ...,2018-07-19,Oracle Sun Systems Products Suite Sun ZFS Storage Appliance Kit组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1499
CVE-2018-2921,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Sun ZFS Storage Appliance Kit（AK）是其中的一个ZFS存储设备套件。,Oracle Sun Systems Products Suite Sun ZFS Storage ...,2018-07-19,Oracle Sun Systems Products Suite Sun ZFS Storage Appliance Kit组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1500
CVE-2018-2924,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Sun ZFS Storage Appliance Kit（AK）是其中的一个ZFS存储设备套件。,Oracle Sun Systems Products Suite Sun ZFS Storage ...,2018-07-19,Oracle Sun Systems Products Suite Sun ZFS Storage Appliance Kit组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1498
CVE-2018-2920,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Sun ZFS Storage Appliance Kit（AK）是其中的一个ZFS存储设备套件。,Oracle Sun Systems Products Suite Sun ZFS Storage ...,2018-07-19,Oracle Sun Systems Products Suite Sun ZFS Storage Appliance Kit组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1501
CVE-2018-2925,Oracle Fusion Middleware（Oracle融合中间件）是美国甲骨文（Oracle）公司的一套面向企业和云环境的业务创新平台，该平台提供了中间件、软件集合等功能。BI Publisher（前称XML Publisher）是其中的一个报表组件。,Oracle Fusion Middleware BI Publisher组件安全漏洞,2018-07-19,Oracle Fusion Middleware BI Publisher组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1497
CVE-2018-2929,Oracle PeopleSoft Products是美国甲骨文（Oracle）公司的一套企业人力资本管理解决方案，它提供了人力资本管理、财务管理、供应商关系管理等功能。PeopleSoft Enterprise PeopleTools是其中的一个能够转变企业管理、PeopleSoft软件的使用以及维护方式的工具和技术平台组件。,Oracle PeopleSoft Products PeopleSoft Enterprise P...,2018-07-19,Oracle PeopleSoft Products PeopleSoft Enterprise PeopleTools 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1493
CVE-2018-2926,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Solaris是其中的一个类Unix操作系统。,Oracle Sun Systems Products Suite Solaris组件安全漏洞,2018-07-19,Oracle Sun Systems Products Suite Solaris组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1496
CVE-2018-2927,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Sun ZFS Storage Appliance Kit（AK）是其中的一个ZFS存储设备套件。,Oracle Sun Systems Products Suite Sun ZFS Storage ...,2018-07-19,Oracle Sun Systems Products Suite Sun ZFS Storage Appliance Kit组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1495
CVE-2018-2930,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Solaris Cluster是其中的一个为Oracle Sun Solaris操作系统提供的企业级集群组件。,Oracle Sun Systems Products Suite Solaris Cluster组...,2018-07-19,Oracle Sun Systems Products Suite Solaris Cluster组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1492
CVE-2018-2928,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Solaris是其中的一个类Unix操作系统。,Oracle Sun Systems Products Suite Solaris组件安全漏洞,2018-07-19,Oracle Sun Systems Products Suite Solaris组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1494
CVE-2018-2932,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。SuperCluster Specific Software是应用在其中的一款数据库和应用程序整合平台。,Oracle Sun Systems Products Suite SuperCluster Spe...,2018-07-19,Oracle Sun Systems Products Suite SuperCluster Specific Software组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1491
CVE-2018-2938,Oracle Java SE是美国甲骨文（Oracle）公司的一套标准版Java平台，用于开发和部署桌面、服务器以及嵌入设备和实时环境中的Java应用程序。,Oracle Java SE组件安全漏洞,2018-07-19,Oracle Java SE组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1487
CVE-2018-2937,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Sun ZFS Storage Appliance Kit（AK）是其中的一个ZFS存储设备套件。,Oracle Sun Systems Products Suite Sun ZFS Storage ...,2018-07-19,Oracle Sun Systems Products Suite Sun ZFS Storage Appliance Kit组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1488
CVE-2018-2939,Oracle Database Server是美国甲骨文（Oracle）公司的一套关系数据库管理系统。Core RDBMS是其中的一个关系型数据库核心组件。,Oracle Database Server Core RDBMS组件安全漏洞,2018-07-19,Oracle Database Server Core RDBMS组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1486
CVE-2018-2941,Oracle Java SE是美国甲骨文（Oracle）公司的一套标准版Java平台，用于开发和部署桌面、服务器以及嵌入设备和实时环境中的Java应用程序。,Oracle Java SE组件安全漏洞,2018-07-19,Oracle Java SE组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1484
CVE-2018-2942,Oracle Java SE是美国甲骨文（Oracle）公司的一套标准版Java平台，用于开发和部署桌面、服务器以及嵌入设备和实时环境中的Java应用程序。,Oracle Java SE组件安全漏洞,2018-07-19,Oracle Java SE组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1483
CVE-2018-2943,Oracle Fusion Middleware（Oracle融合中间件）是美国甲骨文（Oracle）公司的一套面向企业和云环境的业务创新平台，该平台提供了中间件、软件集合等功能。Fusion Middleware MapViewer是其中的一个用于交互式地图和空间分析的开发工具包。,Oracle Fusion Middleware Fusion Middleware MapView...,2018-07-19,Oracle Fusion Middleware Fusion Middleware MapViewer组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1482
CVE-2018-2936,Oracle Communications Applications是美国甲骨文（Oracle）公司的一套用于快速交付和货币化数字生活通信的应用程序。Communications Messaging Server是其中的一个消息（邮件）服务器组件。,Oracle Communications Applications Communications ...,2018-07-19,Oracle Communications Applications Communications Messaging Server组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1489
CVE-2018-2940,Oracle Java SE和Java SE Embedded都是美国甲骨文（Oracle）公司的产品。Java SE（Java 平台标准版）用于开发和部署桌面、服务器以及嵌入设备和实时环境中的Java应用程序；Java SE Embedded是一款针对嵌入式系统开发功能强大、可靠、可移植的应用程序的Java平台。,Oracle Java SE和Java SE Embedded组件安全漏洞,2018-07-19,Oracle Java SE和Java SE Embedded组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1485
CVE-2018-2934,Oracle E-Business Suite（电子商务套件）是美国甲骨文（Oracle）公司的一套全面集成式的全球业务管理软件。Application Object Library（AOL，应用程序对象库）是其中的一个系统管理组件。,Oracle E-Business Suite Application Object Library...,2018-07-19,Oracle E-Business Suite Application Object Library组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1490
